,id,text
0,1535550523398443015,social canon
1,1535550357832540162,20XX
2,1535549338687918081,canon
3,1535549316281929728,20XX
4,1535549263668649984,gn king
5,1535548834079657984,aloha
6,1535548780535173120,best fake cryptic cube
7,1535548486006939648,✨
8,1535548397158969344,close your door
9,1535548320390688768,20XX
10,1535547229070495744,Seth Levine
11,1535547131645157376,what is your name
12,1535547106928209921,aloha
13,1535547052188307456,🤯
14,1535546957107560448,the game only a human could randomly make up so far
15,1535546857148928000,comedy
16,1535546828988379137,you gotta learn to take a joke
17,1535546540235685888,mic drop
18,1535546349441015814,ggs
19,1535546348589633536,being the best cryptic crossword writer on accident
20,1535546310782091264,you’re looking at it buddy
21,1535546254511329280,my brother is a great role model
22,1535546206415335424,kindred spirit
23,1535546193844899840,a random canon name
24,1535546065209806850,just go to bed a little earlier than yesterday
25,1535546057760776192,Joshua Levine
26,1535546009933127684,humanity
27,1535545881692237825,fake cryptic clues
28,1535545827782819840,smartest bot in the 20XX discord so far
29,1535545708844941312,my brother is the first
30,1535544581885833217,what is a cryptic crossword
31,1535544508640681990,give me a second to take a placebo
32,1535544311361654784,not
33,1535544279702986752,fake cryptic clues
34,1535544239378923520,best personal canon twitter account a human has ever had so far
35,1535544166511304704,at the time
36,1535544136190660609,or so it may have seemed
37,1535544091282288640,a quite self away tweet
38,1535544081706676226,this twitter account
39,1535543850688581632,he readily needs to sleep
40,1535543820888051712,i’ll ask my brother after work tomorrow
41,1535543770501984256,the freshest hottest new hit from the name of that game
42,1535543708795297792,is
43,1535543690491416576,time
44,1535543650309943296,best question a human has ever had so far
45,1535543588775292928,canon suicide is a canon random chance
46,1535542223822938112,go get some water and then maybe a good nights sleep
47,1535542159524253696,you look thirsty bro
48,1535542119091142657,you
49,1535542105031909376,hym
50,1535542078679134209,him
51,1535542056168222720,best time we play melee I should ask him
52,1535541989948592129,a pretty canon moment tbh
53,1535541932121722880,theory
54,1535541910185472000,m
55,1535541724541464576,no
56,1535541696166998017,rn
57,1535541681994379264,am I dying of a heart attack?
58,1535541495976980480,why?
59,1535541473268994048,oh
60,1535541333204422656,seen most of it all so far right now because a human is smarter than a computer rn
61,1535540921869119489,the best canon calling card
62,1535540873168949248,😎
63,1535540833755115520,✨
64,1535540804634091520,canon best idea so far
65,1535540644013146112,did you just die of a heart attack?
66,1535540601357185024,it’s okay
67,1535540571804012545,so far
68,1535540548177567744,is a human
69,1535540501364891648,the dumbest AI
70,1535535999467417600,lol
71,1535535984237944832,flippening is canon
72,1535535928399126529,rn
73,1535535906878201856,irl
74,1535535853719547905,my life a movie rn fr fr
75,1535535824116195329,your life is your favorite movie
76,1535535781602701312,be the rabbit hole you want to be in the world
77,1535535693358718976,on my phone hbu
78,1535535639445139456,*soclose
79,1535535604393381888,sofar*
80,1535535544058273792,the canon human benchmark
81,1535533176407281665,read about it in my autobiography
82,1535533111181578241,it’s the game everybody can learn like a child again
83,1535533061126819840,see?
84,1535532994483523584,lol
85,1535532965588967424,poker with the boys face up cards poker
86,1535532918403018753,imagine playing the perfect game by accident
87,1535532760491696133,owchie 😉😘
88,1535532241941516288,believe
89,1535531924977963008,number
90,1535531892195241984,phone number
91,1535531606869307392,like
92,1535531523297857537,just shit my pants ama
93,1535531338568126464,music theory
94,1535531199715627008,😎
95,1535531171752185856,deal with it face inc
96,1535530454618583045,UX 😎
97,1535530436411236352,code
98,1535530402479104002,machine code mind reader
99,1535530332824342528,area code
100,1535530268311683073,code area
101,1535526431123353600,You really need to get some new material. I’ve already heard this joke like a million times.
102,1535526139547881472,lol
103,1535526117934673926,nothing is deleted anymore these not good old days lol
104,1535526058362953728,word of mouth
105,1535515057538207745,JK
106,1535515035539124229,jk
107,1535514992430026759,Also w/o spaces in between the characters.
108,1535514892345540608,pronounced kinda like the and not the
109,1535514750125191169,theadultsaretalking
110,1535514498974380032,the previous tweet is false
111,1535514451582930946,I’m satoshi lol 4 real but actually for the lulz
112,1535514361808056320,Author:…
113,1535514320628355072,every trick in the book
114,1535514040759296001,and for my next trick
115,1535514010681954304,now can you resign for me from my job so I can start full time today so I don’t have to go in for my next shift Sat night closing shift any takers?
116,1535513278385750016,https://t.co/CcZhkDYq9C
117,1535512368200880128,https://t.co/wU1bC01ATa
118,1535511796399804418,https://t.co/ZEdTTvUKSk
119,1535511714996727809,😎
120,1535511674320351232,🆒
121,1535511628434665473,but I’ll wait for you
122,1535511596885192704,so long my friend and adversary
123,1535509446163435520,https://t.co/CXKHeIOSUG
124,1535504346044985344,delete tweet
125,1535504309391003648,skip
126,1535504283906543616,4 hour cutscene
127,1535504061935407105,moving average
128,1535504036236906496,curator average joe
129,1535503930448175104,art direction
130,1535503723144744963,👀
131,1535503698117349379,any buzzkills?
132,1535503488817324033,what you don’t like tetris?
133,1535503438427004928,name of tetris movement tech
134,1535503298978926593,monkey
135,1535503275495043072,return to monk
136,1535503189306290177,fifa is a fake game
137,1535502815870607360,canon western haiku format
138,1535502754176610304,a highlight reel for my mine
139,1535502663327940611,you’ll figure it out you’re a smart cookie 🥠🍪
140,1535502450886471682,https://t.co/q9Im5n2xeY
141,1535502405097246720,easy to learn
142,1535502376164945921,easy to learn hard to master
143,1535502152629571585,any pancake smellers?
144,1535502070509318144,https://t.co/OevYaIh8hx
145,1535501958542286850,https://t.co/Pm5hMQtKad
146,1535501920449622016,👋
147,1535501888551985152,.
148,1535501860169142275,*
149,1535501826639900672,don
150,1535501804867162112,10th dan
151,1535501399085027333,like from Aladdin
152,1535501342730358784,would it kill ya?
153,1535501301936582656,why not pet the lamp once for a sec?
154,1535500741539815424,hotcake time 😎
155,1535500483866943489,https://t.co/bl9eyWXMRH
156,1535499251056226305,the most technical joke so far✨
157,1535498168221151233,4 serious
158,1535498123606249472,be the change (very serious tweet this time)
159,1535497636727271424,feeling bad sucks
160,1535496999591497731,noumenon
161,1535496964661387264,noumenon?
162,1535495401754611712,if I told you the truth it would be a lie
163,1535495283177443328,you need to learn how to be funny man
164,1535494102023671810,waiting for pancakes hbu
165,1535492014447267840,https://t.co/7B2vdrKG4b
166,1535491891340271616,autism speaks 💕 https://t.co/rnhtfabSSX
167,1535490305700483072,ripchord
168,1535489767483133953,*
169,1535489661761556480,2 factor authenication
170,1535488887539126275,ihop
171,1535488836519620608,Denny’s
172,1535488561650102273,DM me when you get back home
173,1535488527172894722,save travels
174,1535488143436107776,there goes gravity 👋
175,1535486522962497536,*my
176,1535486484374949888,https://t.co/oxXlGq0kYM
177,1535486377881526272,you guys should see me glasses lol
178,1535486002663260160,I guess you could say you never saw it coming lol
179,1535485911273656321,you tell me this time https://t.co/m2dKgnvdrO
180,1535484883505623040,maybe take me out to dinner first next time
181,1535484820901335040,🤷
182,1535484745424859136,https://t.co/UN9RNFMU0c
183,1535484665061969920,in a long time
184,1535484627493609472,for the first time
185,1535484590558568455,imagine feeling heard
186,1535484375181062145,emotional intelligence havers in the chat
187,1535483962352513025,felt cute might delete 🤷
188,1535483808408948737,jk 😘
189,1535483741363089409,REDACTED
190,1535483708194451456,DM your oldest friend aloha for fun if you have a second?
191,1535482988909035520,avocado oil?
192,1535482955799199744,EVOO
193,1535482436066258944,https://t.co/cj7xKDCrCr
194,1535482314934759424,alone at the finish line
195,1535481762528210945,don’t knock ‘till you try it
196,1535481103032516608,fatality slingshot captain falcon
197,1535480807317311488,believe it or not I’m on main rn lol
198,1535480502655721472,imagine getting swatted by elon holding 1 pancake from the nearest dennys
199,1535478958216515584,*.
200,1535478924364247040,…
201,1535478878830964737,period
202,1535478835126231041,(coolface)
203,1535478741350031360,https://t.co/77nO51Pc6p
204,1535478697276235776,like
205,1535478676262768641,like
206,1535478654695723009,like
